person_education,person_income,loan_amnt,credit_score,loan_status
3,46211.4777291026,17377.95065003108,639.4961089077232,1
4,31283.252270527257,38774.69798354527,658.7903517430079,1
2,74486.16955897454,6223.314403554818,637.8849723001291,1
4,28547.87933059051,4681.7513050546295,651.0905333307028,1
4,43399.332699545244,36681.249053976564,573.2607439173358,1
1,51961.10865929137,25279.074494103726,549.1964382183994,1
2,71619.09933599173,34731.71742495907,761.615354425748,1
2,28462.06773230841,22306.539591583565,590.712705617717,1
2,67447.45628232439,13073.699628716233,580.6025355380585,1
4,50153.4959152938,41136.013566035785,499.26269204773996,1
3,35277.37023428074,40171.378069479986,605.2726776617349,1
2,56931.55211394906,35040.12707186691,557.3837144614752,1
5,52985.895433602054,14335.111724268172,764.9410612095459,1
4,40996.74684261808,29921.302676585266,720.6871962539844,1
1,51047.031274850284,18687.720950061313,601.8294758375594,1
3,44220.2960470736,5487.521593005074,807.6705063741016,1
5,51702.76017876872,45948.365197649895,718.7235840894116,1
5,59931.9601178157,7704.112915029109,627.2618031543964,1
1,73790.25224218029,47561.63033721932,475.0415999588499,1
3,31432.767517597265,22854.282874939832,810.365980081352,1
4,81995.500619844,10071.513513092363,552.7299273265482,1
0,20718.68300716247,27553.14642153955,534.8220877130176,1
3,47723.22357446625,43774.345957944,721.5799302406748,1
1,58824.75809726865,36879.0194340685,820.7826684437491,1
5,54214.87801602549,40521.496245211034,746.8990972957363,1
4,40659.50720269109,33280.38496882515,689.4736384036652,1
3,46878.16624464087,34921.55166137477,691.63280391657,1
0,42604.985980117504,42610.58692670064,709.7390891146215,1
0,41159.52864583683,13233.732434100111,703.1250012850736,1
2,62744.03145531537,24981.823218513884,669.6833996778563,1
2,55355.23228947571,11839.26264916051,657.2940772766314,1
1,39606.35607109019,49395.7323918357,645.6184810470335,1
3,63493.99813149876,47258.90764464405,597.2224787793326,1
3,54609.49281314914,2931.913757056789,630.3527446193258,1
5,62192.931782584405,35573.183453268735,531.493023006323,1
5,59444.432628854185,46337.167553367624,643.1162261243675,1
5,37565.07483616892,9848.191911239343,580.7986224994357,1
2,41597.284397045456,28829.316297078843,572.7487477948961,1
3,61209.40407684893,45858.92658181405,662.5925905807435,1
3,59155.55398150197,2663.352950704143,747.440160044122,1
0,49686.47609053778,35173.59309509516,714.282162420162,1
2,51759.91074963173,15570.101361254987,540.0649577463776,1
4,69164.97343682637,46295.41357344999,580.7260304400763,1
2,41126.42916746255,48581.85401310302,715.8539831591751,1
4,58206.460717550566,47269.05796655826,581.2258824523183,1
0,46967.110213491585,24236.496616215725,634.2756795002083,1
1,46734.78195159169,43240.089898476355,688.5036469317187,1
3,66481.65277980786,42382.92052821845,582.2158881595456,1
0,62381.245234820446,16635.923188919525,657.3762854302172,1
3,62202.644540009576,41616.85823338319,556.6182153557257,1
5,69582.18210731493,2813.3741010591384,607.904264923415,1
1,50315.05762449138,30217.2240456206,672.3847353899775,1
1,60229.294569424455,12270.43302709745,538.4904386527832,1
0,45345.99865109816,6907.777403086661,680.8332316572279,1
1,54862.49528732663,4770.706879831248,648.6253540751323,1
4,48047.85418448473,35118.15001802885,688.6742968092003,1
1,51454.93947489077,17653.87322463524,665.6739893845263,1
3,58927.3553815537,36513.57180490931,745.4898300981691,1
3,37726.689751497914,4202.460699148176,658.7657151853535,1
3,81385.8091352819,16449.226553699904,619.9416121212323,1
3,34909.73927750447,27435.073326391524,658.5608252122598,1
4,31787.17080818402,39745.435077109214,688.0308620325471,1
2,67371.66310250101,16618.872643671428,653.4202049227993,1
5,61874.94040944404,31668.677445413447,652.8414183842717,1
0,59361.79725578232,44412.90966357317,600.8605818535272,1
3,59425.1826389642,31177.296220932923,603.5969357714337,1
1,49816.29840729628,12415.014262928054,551.8176309740214,1
3,36541.18442771253,2195.638296270363,772.4703720230857,1
1,51137.068372905895,43634.84482114556,562.9295735226101,1
5,39842.574327318325,2042.2011316689698,601.4966361542865,1
5,64626.796001266266,43860.381961525774,599.7114914101562,1
5,47794.13927746792,26917.91956733339,712.6447063861109,1
1,37617.54204811233,47014.31722713191,629.353522519558,1
3,45179.2123752051,40140.378552909606,737.3419450871613,1
5,56193.97181413436,49898.77141613354,602.8556563029292,1
4,41544.13170794038,18184.8789571338,669.5295913556662,1
1,37666.69406650353,38592.22615762522,591.525706271817,1
1,53655.30817237868,20694.614766852865,800.1604389441372,1
3,53674.49856663084,24513.90539489153,566.8681106679342,1
1,42395.85236943305,31747.767697700136,671.687449715892,1
1,42934.425415725156,43810.1785951306,694.3643816652469,1
5,53480.74906036454,49220.08999076546,678.9659368216048,1
3,28278.734877540137,38645.397279361394,637.0298638785604,1
5,28888.043384351673,21470.572326199355,640.9125510186602,1
5,39223.33668121346,21646.493111576438,653.0668030385377,1
3,46798.292724322295,37141.53277785568,639.7098598860058,1
0,54663.61348397007,12700.080142646815,717.4715381756437,1
5,72130.34325424329,6413.231543438338,804.7366101113946,1
4,62864.89434803029,18376.48572439805,610.9755750494517,1
4,47600.922050548594,15074.710591050005,554.1137914294645,1
1,49714.75688145967,15519.097902343514,643.8202566154122,1
4,34962.05953043287,12446.779801445588,830.5796536358023,1
1,49722.30296011415,3062.5662921817325,593.7427802421189,1
0,45670.120416197926,1875.8228019372768,764.7381763810847,1
3,54840.778405071345,49398.39709706554,767.4390569853508,1
3,37591.53584671515,21960.883553057254,611.2488230804404,1
3,57790.197713617585,19832.005710824404,689.8288155429693,1
4,72991.08369503866,34302.716851960424,763.9877636189976,1
0,48368.597773147136,11694.440505388144,623.4610581308759,1
4,56025.67583148412,47548.098013561044,635.7493747928347,1
4,60352.159875666686,39530.90570636205,609.2823360235949,1
0,43981.692921712456,5381.139113300716,578.9670288514993,1
0,53361.38722715625,21461.458013461488,604.5505718453795,1
0,50188.88601172692,44076.79707054607,564.324181326642,1
0,51465.14147823248,47291.86909227911,652.3858427781458,1
3,38404.853242168,23902.674051243615,596.101873825895,1
2,50367.652613884144,31057.158071324677,666.3650138253523,1
2,57469.974368681746,9184.663358511687,541.0873047657461,1
0,71767.15411692562,49567.26268071185,673.161616255012,1
2,64389.0623912781,12351.913367788726,708.3470273126247,1
2,82297.73686267334,47193.85693262116,510.43850501999816,1
0,38489.78655667926,32832.68580062606,676.18395988933,1
2,63084.80955081017,30779.102949064098,735.9368294731305,1
4,52750.130086075274,26121.737039808922,565.3251286916156,1
1,82847.04399826509,12302.820774170175,767.0800670786392,1
1,37875.525719672725,9649.873568269904,679.3313306556231,1
0,37404.17236728836,11803.824244438592,600.6491700969113,1
3,41009.11031833967,10135.474845068471,646.0961645639605,1
0,18141.564135352895,39199.63920477091,689.0828838765206,1
3,42113.674674788585,18156.137699169776,655.3203773988688,1
1,38613.01007669453,3834.291151606422,687.7129194712459,1
0,52255.906797143114,48486.028876899756,585.5528484844443,1
5,55126.339636657394,44305.50836320786,661.8552576825255,1
4,78142.56258823829,46459.86187656543,551.0399852166514,1
2,64256.35757279075,49750.48330967533,642.214175705591,1
3,41346.44516506395,9520.867211754878,586.7264650974647,1
5,36523.77992977463,20415.858926230278,598.5129040187163,1
2,57378.78757259758,38153.68530950048,736.5265222647306,1
2,30196.501894690366,35105.01028463582,726.3917084415989,1
0,77471.8814878153,8540.899410652899,692.6396684635024,1
2,67691.60181081931,40975.82312454027,573.5381064729195,1
4,42962.365218429426,11997.588019996372,627.8514085213639,1
5,24302.98206363684,11967.06312630853,734.9168389985429,1
2,70308.0856124812,27311.746721777265,659.9201839547933,1
0,48281.902321210735,30054.056807243454,812.3530677987186,1
4,68567.24467960192,29424.224184052746,677.532248757606,1
1,26083.585118084495,5482.855032489989,663.4434381543022,1
5,41009.374655693406,43995.58226888864,628.3618475058249,1
2,50078.65549577275,14014.402086846598,659.3478633347597,1
0,50704.70890647113,7346.231142857405,639.3271114533619,1
1,43249.01792781134,44548.65591357988,699.5676073682014,1
1,59342.748985212485,47826.923413257915,716.9691621756209,1
3,33985.69355926108,43244.25324600708,594.9807377644436,1
4,47864.3077246806,40666.287661519025,556.8136932509556,1
2,51804.434475678485,33106.857051312065,521.4656238827693,1
0,57716.582510881235,27992.011159847825,685.5593928838781,1
3,60674.223171333346,5262.351235659096,572.7643375678289,1
4,33130.36862243196,21014.207440464237,499.2976584933262,1
3,26988.287438965664,19261.737333603385,677.2005023171674,1
